SOCIETY_CD,SOCIETY_NAME,CREATED_DATE,CREATED_BY
'SIDI','Society for Investigative Dermatology, Inc.',sysdate,0
'SLAS','Society for Latin American Studies',sysdate,0
'SMM','Society for Marine Mammalogy',sysdate,0
'SMIT','Society for Medical Innovation and Technology',sysdate,0
'SMA','Society for Music Analysis',sysdate,0
'SO','Society for Oxonomics',sysdate,0
'SPR','Society for Psychophysiological Research',sysdate,0
'SRS','Society for Renaissance Studies',sysdate,0
'SRCD','Society for Research in Child Development',sysdate,0
'SRSM','Society for Research Synthesis Methodology',sysdate,0
'SSP','Society for Science and the Public',sysdate,0
'SAMS','Society for the Advancement of Managment Studies',sysdate,0
'SEAB','Society for the Experimental Analysis of Behavior',sysdate,0
'SPSSI','Society for the Psychological Study of Social Issues',sysdate,0
'SPWDAPA','Society for the Psychology of Women, Division 35 of the American Psychological Association',sysdate,0
'SSSR','Society for the Scientific Study of Religion',sysdate,0
'SSEPC','Society for the Study of Evolution',sysdate,0
'SSSB','Society for the Study of Species Biology',sysdate,0
'SSSI','Society for the Study of Symbolic Interaction',sysdate,0
'SVE','Society for Vector Ecology',sysdate,0
'SWP','Society for Women in Philosophy',sysdate,0
'SDT','Society of Dairy Technology',sysdate,0
'SDC','Society of Dyers and Colourists',sysdate,0
'SETC','Society of Environmental Toxicology and Chemistry',sysdate,0
'SGIM','Society of General Internal Medicine',sysdate,0
'SHM','Society of Hospital Medicine',sysdate,0
'SHPA','Society of Hospital Pharmacists of Australia',sysdate,0
'SIC','Society of Industrial Chemistry',sysdate,0
'SLS','Society of Legal Scholars',sysdate,0
'SPE','Society of Plastics Engineers',sysdate,0
'SRG','Society of Resource Geology',sysdate,0
'SSCWD','Society on Sarcopenia, Cachexia and Wasting Disorders',sysdate,0
'SCLAS','Southeastern Council on Latin American Studies',sysdate,0
'SEA','Southern Economic Association',sysdate,0
'SFASFA','Southern Finance Association and the Southwestern Finance Association',sysdate,0
'SSSA','Southwestern Social Science Association',sysdate,0
'SCDA','Special Care Dentistry Association',sysdate,0
'SJDS','St. John''s Dermatological Society',sysdate,0
'SSC','Statistical Society of Canada',sysdate,0
'SIV','Steel Institute VDEh',sysdate,0
'ST','Stifielsen Theoria',sysdate,0
'SMS','Strategic Management Society',sysdate,0
'SCHS','Supreme Court Historical Society',sysdate,0
'SGS','Swedish Geophysical Society',sysdate,0
'SIMR','Swedish Institute for Metals Research',sysdate,0
'SSAG','Swedish Society for Anthropology and Geography',sysdate,0
'SSS','Swedish Statistical Society',sysdate,0
'SDS','System Dynamics Society',sysdate,0
'TSPCM','Taiwan Society of Pulmonary?and?Critical Care Medicine?',sysdate,0
'TST','Teaching Statistics Trust',sysdate,0
'TIA','TESOL International Association',sysdate,0
'TAFUS','The Accounting Foundation, University of Sydney',sysdate,0
'TAACRAO','The American Association of Collegiate Registrars and Admissions Officers',sysdate,0
'TAPOS','The American Psychosocial Oncology Society',sysdate,0
'TBESS','The British Elbow and Shoulder Society',sysdate,0
'TCSJ','The Chemical Society of Japan',sysdate,0
'TCTBUH','The Council on Tall Buildings and Urban Habitat',sysdate,0
